Temparature,Humidity,Windspeed,Rainfall
20.85,46.2,0.55,0
23.15,48.25,0.7,0
24.85,49.75,0.25,0
25,53.5,3.4,0
24.6,52.9,1.15,0
25.55,55.4,0.8,0
24.25,60.3,1,0
26.95,53.8,0.9,0
24.75,52.35,0.15,0
24.9,38.6,0.25,0
25.3,54.45,0.3,0
26.2,60.9,1.75,0
25,62.25,0.05,0
24.7,52.85,0.05,0
25.2,49.45,4.5,0
25.4,49.45,0.15,0
24.05,46.9,0.55,0
26.95,55.35,0.55,0
26.6,60.4,0.75,0
25.1,58.6,1.2,0
26.15,58.35,3.5,0
26.25,54.3,2.55,0
27.6,56.15,1.9,0
26.95,71.25,2.15,0
26.4,71.55,0.8,0
27.45,66.85,3.95,0
24.6,83.3,2.55,1
22,90.7,2.6,1
20.4,78.95,1.7,0
21.3,57.15,1.15,0
24.3,54.25,0.05,0
25,68.85,0.6,0
25.9,64.2,0.1,0
24.75,67.5,0.75,0
24.65,66.45,0.8,0
25.95,63.05,0.75,0
27.3,61.75,0.75,0
28.2,59.1,2.85,0
28.75,62.35,2.8,0
26.55,60.2,3.05,0
25.7,38.4,1.4,0
27.45,55.85,1.2,0
27.2,69.9,1.7,0
26.4,70.6,2.15,0
26.95,58.2,0.6,0
27.2,55.7,2,0
29.85,59.9,4.4,0
29.6,62.1,3.8,0
30.2,55.2,4.3,0
29.5,62.7,3.15,0
29.65,64.4,3.55,0
29.25,62.65,2.6,0
29.45,46.4,2.65,0
30.35,48.15,3.4,0
30.85,43.9,2.35,0
31.45,39.3,4.4,0
27.7,48.95,8.05,0
28.55,57.65,4.45,0
26.6,65.45,3.5,0
29,59.6,3.65,0
28.15,69.95,3.95,0
27.45,64.8,3.05,0
29.25,59,2.05,0
30.6,60.3,4.5,0
29.65,39,5.15,0
28.6,40.4,4.45,0
29.25,53.85,2.05,0
29.75,61.4,3,0
29.6,63.8,2.55,0
30.65,62.65,3.4,0
30.65,61.5,3.2,0
31.55,46.35,2.7,0
31.85,36.6,2.9,0
30.6,39.5,2.05,0
30.65,35.6,3.3,0
30.85,49.2,4.05,0
30.65,50.65,3,0
28.65,56.05,3.35,0
30.3,61.35,4.4,0
30.95,64.95,3.35,0
30.55,57.4,5.45,0
30.85,58.05,0.05,0
31.9,56.7,3.65,0
31.25,54.25,2.25,0
32.25,50.05,4.55,0
31.9,51.45,2.3,0
33,45.75,2.3,0
32.95,44.35,4.15,0
31.9,50.55,2.55,0
34.55,39.65,2.2,0
33.4,40.1,3.85,1
32.55,39.25,2.2,0
31.75,49.05,2.2,0
31,53.3,2.3,0
32.4,46.9,6.55,0
32.15,36.5,6.75,1
31.9,50.6,5.75,1
31.5,42.1,3.65,1
31.55,52.9,1.85,0
31.6,54.55,1.95,0
32.3,51.65,2.55,0
33.25,41.9,2.8,0
31.4,50.6,2.05,1
32.55,42.05,1.7,0
32.95,38,1.7,0
33.1,32.25,2.15,0
33.1,29.2,2.9,0
31.95,47.5,7.1,0
29.1,61.35,4.1,1
30.05,60.7,2.3,1
30.35,61.05,3.25,1
31.8,54,3.2,0
29.4,57.8,2.7,1
31.75,39.6,0.1,0
32.85,38.05,2.2,0
33.5,39.65,1.35,0
34.3,37.5,0.1,0
34.1,40.65,1.75,0
34.05,46,1.85,0
35.25,40.05,5.05,0
33.95,46.55,7.3,0
34.5,40.6,4.2,1
34.35,24.95,5.95,0
33.3,30.5,7.55,0
33.75,27.5,5.35,0
35.3,24.3,2.25,0
35.25,26.05,1.25,0
36.1,24.3,4.1,0
35.85,26.15,3.7,0
36.5,31.7,0.05,0
35,39.65,0,0
33.4,50.5,0,1
34.8,45.05,0,0
34.9,39.2,0,0
34.8,50.95,0,0
33.65,54.85,0,0
34.85,48.8,0,0
35.45,42.95,0,0
36.2,34.45,0,0
35.65,39.9,0,0
37.75,44,0,0
36.8,47.8,0,1
35.2,53.1,0,1
35.45,45.7,0,0
37.15,45.15,0,0
37.9,37.1,0,0
37,41.95,0,0
36.9,45.65,0,0
37.15,44.75,0,0
35.35,51.8,0,0
35.5,51.6,1.8,0
36.1,36.4,1.55,0
33.45,48,1.15,0
35.4,45.6,2.55,0
33.25,57.45,4,1
32.9,57.15,1.8,0
36.3,46.6,1.7,0
34.15,49.2,2.75,0
32.5,60.85,2.85,1
30.5,62.35,1.4,0
34.45,49.95,2.2,0
34.35,48.35,2.35,0
34.65,45.9,3.05,0
32.75,55.2,3.75,0
31.65,56.2,2.75,0
32.5,52.2,3,0
33.45,47.05,3.1,0
33.8,46.3,3.45,0
32.85,46.35,2.65,0
33.3,46.35,2.9,0
33.05,51.2,2.9,0
32.3,58.55,2.45,0
31.35,63.55,2.4,1
