Temparature,Humidity,Windspeed,Rainfall
16.1,56.3,0.6,0
17.7,56.65,1.1,0
20.4,53.3,0.6,0
20.05,59.85,0.7,0
20.55,58.6,0.6,0
21.5,59.15,0.65,0
21.55,65.7,1.05,0
18.35,68.9,0.75,0
16.25,63.95,1.05,0
17.5,58.6,0.65,0
18.8,58.9,0.95,0
21.15,62.25,1,0
23.3,63,1.1,0
22.2,69.4,1.3,0
20.7,69.5,0.85,0
18.45,65.85,1,0
19.4,64.7,0.7,0
21.3,54.45,0.75,0
20.65,61.35,0.85,0
20.6,58.5,0.65,0
20.7,56.55,0.75,0
26.45,48.25,1.25,0
24.75,55.05,1.25,0
23.45,59.9,1.35,0
24.5,60.1,1.1,0
23.75,72.75,1.05,0
19.2,87.4,1.05,0
17.8,81.15,0.9,0
16.5,66.9,0.95,0
14.9,58.6,0.7,0
16.3,54.7,1.1,0
20.85,57.75,0.85,0
22,63.95,0.95,0
21.85,62.85,1,0
22.35,55.95,1.5,0
22.15,55.85,0.8,0
23.7,53.65,0.85,0
27.35,51.3,1.6,0
25,48.6,1.6,0
20.5,42.7,0.85,0
17,51.35,0.8,0
19.8,49.45,0.95,0
23.8,57.1,0.85,0
24.1,66.25,0.8,0
26.1,49.5,0.75,0
28.2,41.1,1,0
26.1,63.85,1.6,0
24.95,65.8,0.7,0
22.3,62.3,1,0
24.15,49.7,1.15,0
30.15,53.05,0.95,0
29.85,51.4,1.3,0
30.25,42.75,0.9,0
29.7,41.95,0.55,0
29.15,46.4,0.95,0
27.6,39.55,1,0
25.3,40.7,1.05,0
25.5,39.1,1,0
24.2,43.05,0.7,0
23.6,46.9,1.05,0
25.8,44.5,1.05,0
29.1,59.25,1.65,0
29.75,51.75,1.25,0
28.65,41.75,1.1,0
25.05,40.9,1.15,0
24.8,42.9,1.1,0
24.5,45.6,1.2,0
27.2,42.6,0.6,0
28.3,42.1,0.9,0
29.95,41.9,1.2,0
30.05,45.8,1.1,0
31.8,40.75,1,0
30.4,42.75,1.6,0
30.25,30,1,0
29.7,38.85,0.7,0
32.25,36.1,2.05,0
30.3,42.4,1.8,0
30.8,40.3,1.55,0
32.55,44,1,0
30.6,54.35,1.75,0
31,61.3,1.05,1
30.9,51.3,0.85,0
30.2,44.85,0.75,0
29.95,41.55,0.95,0
32.5,40.25,0.9,0
31.9,36.5,0.75,0
31.15,39.3,0.8,0
30.65,35.3,0.95,0
31.55,34.4,1.15,0
35,30,0.9,0
33.9,27.5,1.4,0
33.05,17.1,1.45,0
34.25,33.25,1,0
34.7,37.5,1.65,0
33.25,34.95,1.45,0
33.85,29.8,1.45,0
34.6,33.35,8.5,0
34.8,29.75,1.4,0
35.6,30.2,1.3,0
35.7,30.9,1.4,0
36.2,32.15,1.25,0
36.9,24.5,1.45,0
35.65,28.55,1.75,0
35.35,28.55,1,0
37.55,24.9,1.8,0
32.5,49.25,1.2,1
31.4,50.95,1.4,0
32,42.1,1.25,0
32.65,42.8,0.9,0
34.3,36.65,1.25,0
34.5,39.7,1.7,0
34.75,37.95,0.9,0
33.4,45.35,2.65,0
35.1,32.05,1.45,0
36.55,28.45,1.45,0
37.55,24.65,1.1,0
38.55,24.35,1.3,0
38.75,27.6,1.15,0
38.8,27.65,1.4,0
38.15,27.3,1.35,0
37.15,26.85,1.3,0
36.9,25.3,1.15,0
36.8,19.65,1.4,0
35.05,22.25,1.8,0
35.85,25.75,1.15,0
34.95,24.05,1.9,0
36.55,20.95,1.3,0
37.75,18.75,1.5,0
37.35,20.8,1.15,0
36,24.45,1.15,0
36.6,27.15,1.1,0
37.15,32.3,1.4,0
37.25,24.85,1.1,0
35.65,22.1,0.9,0
36.55,27.7,1.1,0
38.1,28.15,1.1,0
36.7,23.55,1,0
36.9,23.4,1.2,0
36.15,22.85,1.45,0
36.25,25.8,1.45,0
38.45,25.95,0.75,0
39.3,25.5,1.8,0
39.6,28.95,1.1,0
39,29.95,1.95,0
38.3,23.85,1.25,0
37,27.2,1.5,0
39,21.45,1.6,0
40.1,21,1.9,0
38.5,20.85,1.55,0
38.65,29.75,2.6,0
38.45,35.3,1.55,0
38.2,33.25,1.55,0
34.7,42.8,2.1,0
39.2,29.1,1.8,0
37.6,37.45,3.3,0
35.7,44.15,1.55,1
37.8,32.2,1.3,0
38.7,32.1,1.55,0
36.15,53.8,1.35,1
35.45,47.25,1.5,0
38.05,34.15,2,0
36.85,43.05,1.95,0
38.3,35.5,1.4,0
35.75,39.9,2.25,0
35.8,41.45,2.2,0
36.4,37.75,1.75,0
36.9,39.5,2,0
34.8,55.85,1.9,1
35.2,56.05,1.55,1
36.05,41.05,7.85,0
36.35,41.75,1.6,0
33.5,62.05,2,1
32.85,61.35,2.75,1
30.55,69.3,1.3,1
30.35,75.75,1.15,1
32.55,69.15,1,0
33.15,63.1,1.1,0
33.6,62.15,0.95,0
32.05,65,1.65,1
30.6,76.75,1,1
28.65,78.6,2.1,1
26.75,89.8,1.15,1
